category	name	status	path	metric	value	notes
source_contract	official_policy_obs_contract	pass	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/config/g1/flat_env_cfg.py			Tracking policy actor observation order is command(58), anchor pos/orientation, base twist, joint state, last action.
source_contract	official_reward_contract	pass	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/tracking_env_cfg.py			Tracking reward uses Gaussian-shaped task-space terms plus action-rate, joint-limit, and contact regularizers.
source_contract	official_reset_update_contract	pass	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/tasks/tracking/mdp/commands.py			MotionCommand refreshes relative body targets in _update_command; reset-time stale targets are a local runtime blocker if not refreshed.
source_contract	official_pd_action_scale_contract	pass	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking/source/whole_body_tracking/whole_body_tracking/robots/g1.py			Action is a joint position target offset using G1_ACTION_SCALE = 0.25 * effort / stiffness.
source_contract	paper_stage1_contract	pass	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex			Paper Stage 1 is RL motion tracking with DeepMimic-style task-space rewards and 50 Hz policies.
source_contract	paper_stage2_contract	pass	/mnt/infini-data/test/BeyondMimic/reproduction/paper/source/tex/method.tex			Paper Stage 2 requires true tracking-policy rollouts, VAE/DAgger, state-latent diffusion, and receding-horizon guidance.
motion	hub_singleleg_rootxy0	pass	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_short_motion_recentered_bundle/motions/hub_singleleg_video_single_leg_stand_1_rootxy0/motion.npz	endpoint_or_joint_target	"{""duration_seconds"": 15.98, ""joint_max_range"": 1.731998823583126, ""joint_median_range"": 0.1047472357749939, ""left_minus_right_ankle_z"": {""abs_max"": 0.3191332444548607, ""max"": 0.015023883432149887, ""mean"": -0.12269204988311021, ""min"": -0.3191332444548607}}"	Motion source target magnitude check.
motion	hub_singleleg_original	pass	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_motion_bundle/motions/hub_singleleg_video_single_leg_stand_1/motion.npz	endpoint_or_joint_target	"{""duration_seconds"": 15.98, ""joint_max_range"": 1.731998823583126, ""joint_median_range"": 0.1047472357749939, ""left_minus_right_ankle_z"": {""abs_max"": 0.3191332444548607, ""max"": 0.015023883432149887, ""mean"": -0.12269204988311021, ""min"": -0.3191332444548607}}"	Motion source target magnitude check.
motion	lafan1_jumps1_subject1_full	pass	/mnt/infini-data/test/BeyondMimic/res/tracking/stage1_multisource_motion_bundle/motions/lafan1_jumps1_subject1/motion.npz	endpoint_or_joint_target	"{""duration_seconds"": 244.44, ""joint_max_range"": 2.6947730779647827, ""joint_median_range"": 1.7822555899620056, ""left_minus_right_ankle_z"": {""abs_max"": 0.5173999927937984, ""max"": 0.47252969816327095, ""mean"": 0.004200811200837538, ""min"": -0.5173999927937984}}"	Motion source target magnitude check.
motion	official_short_jumps1_subject1	pass	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_robot_order_motion_npz/motions/jumps1_subject1/motion.npz	endpoint_or_joint_target	"{""duration_seconds"": 5.98, ""joint_max_range"": 1.716393992304802, ""joint_median_range"": 0.5830006003379822, ""left_minus_right_ankle_z"": {""abs_max"": 0.12914567068219185, ""max"": 0.12914567068219185, ""mean"": 0.00757949862840981, ""min"": -0.06731992959976196}}"	Motion source target magnitude check.
motion	official_short_walk1_subject1	pass	/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_loop_full_bundle_fk_repaired_robot_order_motion_npz/motions/walk1_subject1/motion.npz	endpoint_or_joint_target	"{""duration_seconds"": 5.98, ""joint_max_range"": 1.755422830581665, ""joint_median_range"": 0.5833681896328926, ""left_minus_right_ankle_z"": {""abs_max"": 0.11790884658694267, ""max"": 0.11258389055728912, ""mean"": -0.003987594479601519, ""min"": -0.11790884658694267}}"	Motion source target magnitude check.
eval	hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_model1000_strict_20260624_222900	failed_quality_gate	/mnt/infini-data/test/BeyondMimic/res/tracking/hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_model1000_strict_20260624_222900/tracking_hub_singleleg_paper_contract_ppo_checkpoint_eval.json	reward/body_error/joint_error/done_rate	"{""error_body_pos_mean"": 0.13539343317958977, ""error_joint_pos_mean"": 0.8818907182714966, ""local_non_timeout_done_rate"": 0.2684996871088861, ""reward_mean"": 0.040946627881970066}"	Teacher checkpoint quality evidence.
eval	hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_model1000_refresh_strict_20260624_223900	failed_quality_gate	/mnt/infini-data/test/BeyondMimic/res/tracking/hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_model1000_refresh_strict_20260624_223900/tracking_hub_singleleg_paper_contract_ppo_checkpoint_eval.json	reward/body_error/joint_error/done_rate	"{""error_body_pos_mean"": 0.11063114241306415, ""error_joint_pos_mean"": 0.8459923149497995, ""local_non_timeout_done_rate"": 0.3438917787859825, ""reward_mean"": 0.040732579606495456}"	Teacher checkpoint quality evidence.
eval	hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_refresh_model250_20260624_231000	failed_quality_gate	/mnt/infini-data/test/BeyondMimic/res/tracking/hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_refresh_model250_20260624_231000/tracking_hub_singleleg_paper_contract_ppo_checkpoint_eval.json	reward/body_error/joint_error/done_rate	"{""error_body_pos_mean"": 0.10966614360579562, ""error_joint_pos_mean"": 0.8425198970211015, ""local_non_timeout_done_rate"": 0.34234198998748433, ""reward_mean"": 0.041315376693301264}"	Teacher checkpoint quality evidence.
eval	hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_refresh_model250_relaxed0p5_20260624_231400	failed_quality_gate	/mnt/infini-data/test/BeyondMimic/res/tracking/hub_singleleg_paper_contract_ppo_checkpoint_eval_rootxy0_refresh_model250_relaxed0p5_20260624_231400/tracking_hub_singleleg_paper_contract_ppo_checkpoint_eval.json	reward/body_error/joint_error/done_rate	"{""error_body_pos_mean"": 0.155114119525099, ""error_joint_pos_mean"": 1.7376179636942133, ""local_non_timeout_done_rate"": 0.07673165675844806, ""reward_mean"": 0.023305526421112808}"	Teacher checkpoint quality evidence.
