index	category	command	script_path	script_exists	expected_output_status	smoke_executed	smoke_passed
0	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/reproduction_master_audit.py	reproduction/scripts/reproduction_master_audit.py	True	not_mapped	False	not_run
1	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/blocked_gate_audit.py	reproduction/scripts/blocked_gate_audit.py	True	not_mapped	False	not_run
2	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/paper_source_coverage_audit.py	reproduction/scripts/paper_source_coverage_audit.py	True	not_mapped	False	not_run
3	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/paper_latex_inventory_audit.py	reproduction/scripts/paper_latex_inventory_audit.py	True	not_mapped	False	not_run
4	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/paper_formula_code_trace_audit.py	reproduction/scripts/paper_formula_code_trace_audit.py	True	res/paper_formula_code_trace/paper_formula_code_trace_audit.json:12812	True	True
5	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/paper_pdf_source_consistency_audit.py	reproduction/scripts/paper_pdf_source_consistency_audit.py	True	not_mapped	False	not_run
6	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/paper_table_value_audit.py	reproduction/scripts/paper_table_value_audit.py	True	not_mapped	False	not_run
7	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/skill_success_table_data_audit.py	reproduction/scripts/skill_success_table_data_audit.py	True	not_mapped	False	not_run
8	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/released_panel_mapping_audit.py	reproduction/scripts/released_panel_mapping_audit.py	True	not_mapped	False	not_run
9	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/paper_vs_reproduction_comparison.py	reproduction/scripts/paper_vs_reproduction_comparison.py	True	not_mapped	False	not_run
10	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/results_claims_audit.py	reproduction/scripts/results_claims_audit.py	True	not_mapped	False	not_run
11	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/bm_diffusion_env_audit.py	reproduction/scripts/bm_diffusion_env_audit.py	True	not_mapped	False	not_run
12	hardware_or_gpu_probe	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/gpu_resource_audit.py --samples 3 --interval-sec 1	reproduction/scripts/gpu_resource_audit.py	True	not_mapped	False	not_run
13	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/create_run_management_skeleton.py	reproduction/scripts/create_run_management_skeleton.py	True	not_mapped	False	not_run
14	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/checkpoint_resume_smoke.py	reproduction/scripts/checkpoint_resume_smoke.py	True	not_mapped	False	not_run
15	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/full_run_deliverable_gap_audit.py	reproduction/scripts/full_run_deliverable_gap_audit.py	True	not_mapped	False	not_run
16	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/record_failed_run.py	reproduction/scripts/record_failed_run.py	True	not_mapped	False	not_run
17	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/record_official_train_entry_failed_run.py	reproduction/scripts/record_official_train_entry_failed_run.py	True	not_mapped	False	not_run
18	lightweight_python_audit	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/resolved_reproduction_config.py	reproduction/scripts/resolved_reproduction_config.py	True	not_mapped	False	not_run
