requirement_id	requirement	paper_required	current_status	evidence	gap	paper_trainable_satisfied
paper_state_tokens	Use paper-formula state tokens with history 4, horizon 16, sequence length 21.	True	debug_satisfied	/mnt/infini-data/test/BeyondMimic/res/level_c/paper_state_windows/level_c_paper_state_windows.json;/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_dataset_consistency_audit/level_c_state_latent_dataset_consistency_audit.json		True
state_latent_dimensions	Provide 99-D state, 32-D latent, and 131-D concatenated state-latent tokens.	True	debug_satisfied	/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_schema_audit/state_latent_schema_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_dataset_consistency_audit/level_c_state_latent_dataset_consistency_audit.json;/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_vae_debug_latents/debug_tiny_vae_state_latent_windows.npz		True
motion_level_split	Keep train/validation/test motion splits without cross-motion leakage.	True	debug_satisfied	/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_schema_audit/state_latent_schema_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_dataset_consistency_audit/level_c_state_latent_dataset_consistency_audit.json		True
trained_vae_rollout_latents	Record latent trajectories from a trained conditional VAE policy rollout.	True	missing	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_debug_overfit_latent_artifact/level_c_vae_debug_overfit_latent_artifact.json;/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json	Current latents are nonzero debug tiny-VAE artifacts, not trained paper VAE rollout latents.	False
true_dagger_teacher_student_rollout	Collect states/actions from true DAgger teacher/student closed-loop rollouts.	True	missing	/mnt/infini-data/test/BeyondMimic/res/level_c/dagger_schema_audit/dagger_schema_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json	Current DAgger samples are deterministic synthetic/debug schema samples, not Isaac teacher-policy rollouts.	False
ou_action_perturbation_collection	Apply paper OU action perturbations during live rollout collection.	True	debug_protocol_only	/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json	OU constants and a synthetic manifest are audited; no live policy rollout with perturbations exists.	False
two_point_five_second_recording	Record 2.5 second state-latent rollout windows from live VAE policy execution.	True	debug_protocol_only	/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json	Window lengths are represented in a debug manifest; no live VAE policy execution log is present.	False
five_second_stability_rejection	Verify 5 second stability and reject failed episodes using real rollout failure signals.	True	missing	/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json	Accept/reject fields are debug placeholders and failure signals are explicitly missing.	False
approximately_100x_sample_coverage	Cover each start sample approximately 100 times with accepted rollout data.	True	debug_protocol_only	/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json	The debug manifest has 100x synthetic coverage; no accepted live rollout coverage measurement exists.	False
sagittal_symmetric_augmented_dataset	Include sagittal-symmetric augmentation in the trainable state-latent dataset.	True	debug_protocol_only	/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json	Candidate symmetry mechanics are audited elsewhere, but no augmented trainable dataset was produced.	False
trainable_dataset_provenance_manifest	Store per-window provenance: source motion, teacher/student policy, timestep, latent source, augmentation, accept/reject, and split.	True	partial_debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_schema_audit/state_latent_schema_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json;/mnt/infini-data/test/BeyondMimic/res/level_c/vae_debug_overfit_latent_artifact/level_c_vae_debug_overfit_latent_artifact.json	Debug provenance exists for source/split/window ordering, but teacher/student policy, true latent source, augmentation, and accept/reject are not paper-level evidence.	False
paper_scale_training_dataset_size	Provide enough accepted windows for paper-scale diffusion training rather than a tiny debug fixture.	True	missing	/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_dataset_consistency_audit/level_c_state_latent_dataset_consistency_audit.json;/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_vae_debug_latents/debug_tiny_vae_state_latent_windows.npz	Current dataset has 84 debug windows over 3 short motions; it is not a paper-scale trainable dataset.	False
