category	key	value
paper_protocol	approx_sample_coverage	100
paper_protocol	history	4
paper_protocol	horizon	16
paper_protocol	latent_dim	32
paper_protocol	ou_dt	1.0
paper_protocol	ou_mu	0.0
paper_protocol	ou_sigma	0.1
paper_protocol	ou_theta	0.8
paper_protocol	paper_state_dim	99
paper_protocol	recorded_rollout_seconds	2.5
paper_protocol	sequence_length	21
paper_protocol	stability_verification_seconds	5.0
current_evidence_checks	fixture_manifest_guard_gap_present	True
current_evidence_checks	fixture_manifest_no_near_gap_leakage	True
current_evidence_checks	official_level_c_rollout_artifacts_absent	True
current_evidence_checks	ou_probe_status_ok	True
current_evidence_checks	ou_probe_temporal_correlation	True
current_evidence_checks	paper_state_windows_available	True
current_evidence_checks	rollout_manifest_accept_reject_debug_marked	True
current_evidence_checks	rollout_manifest_coverage_100x_debug	True
current_evidence_checks	rollout_manifest_no_true_vae_claim	True
current_evidence_checks	rollout_manifest_status_ok	True
current_evidence_checks	rollout_manifest_windows_match_paper	True
current_evidence_checks	sagittal_double_mirror_candidate	True
current_evidence_checks	small_dataset_manifest_accept_reject_debug_marked	True
current_evidence_checks	small_dataset_manifest_has_required_fields	True
current_evidence_checks	small_dataset_manifest_latent_missing_marked	True
current_evidence_checks	small_dataset_manifest_no_motion_cross_split	True
current_evidence_checks	small_dataset_manifest_status_ok	True
missing_paper_requirements	missing_live_2_5s_policy_rollout_logs	True
missing_paper_requirements	missing_live_5s_stability_verification_logs	True
missing_paper_requirements	missing_live_approximately_100x_sample_coverage_measurement	True
missing_paper_requirements	missing_original_state_and_latent_recording_from_trained_vae	True
missing_paper_requirements	missing_paper_exact_sagittal_augmented_dataset	True
missing_paper_requirements	missing_real_episode_rejection_decisions	True
missing_paper_requirements	missing_trainable_state_latent_dataset	True
missing_paper_requirements	missing_true_vae_rollout_with_action_noise	True
checks	all_missing_paper_requirements_explicit	True
checks	debug_boundaries_mark_missing_latent_and_accept_reject	True
checks	does_not_claim_true_dataset_collection	True
checks	manifest_debug_evidence_ok	True
checks	official_level_c_artifacts_absent_recorded	True
checks	ou_and_symmetry_debug_evidence_ok	True
checks	paper_protocol_source_indexed	True
checks	paper_state_windows_available	True
checks	rollout_manifest_debug_evidence_ok	True
