account	status	trial_count	failure_count	evidence	all_evidence_exists	detail
paper_skill_success_table_rows	source_table_count_only	36		res/paper_skill_success_table_audit/skill_success_table_data_audit.json	True	Paper skill-success table rows parsed from source; local sim/real execution outcomes are not available and are not counted as reproduced successes or failures.
paper_real_segments_declared	source_table_count_only	24	2	res/paper_skill_success_table_audit/skill_success_table_data_audit.json	True	Declared real segments are parsed; two segment rows exceed local CSV duration and are data-availability mismatches.
released_tracking_ablation_metric_rows	released_data_metric_rows	30		res/tables/released_data_metrics_summary/released_data_metrics_summary.json;res/tables/released_data_statistical_audit/released_data_statistical_audit.json	True	Released processed tracking-ablation metric rows; not live PPO rerun trials.
released_grf_ci_rows	released_data_metric_rows	12		res/tables/released_data_statistical_audit/released_data_statistical_audit.json	True	Released GRF confidence-interval rows; not closed-loop task trials.
released_imu_ci_rows	released_data_metric_rows	11		res/tables/released_data_statistical_audit/released_data_statistical_audit.json	True	Released IMU confidence-interval rows; not sim/real task-success trials.
results_claim_rows	claim_accounting_rows	14	4	res/results_claims_audit/results_claims_audit.json	True	Results-claim audit rows; blocked/unreproduced rows are claim-accounting gaps, not rollout failure episodes.
small_dataset_overfit_debug_seeds	debug_seed_runs	3	0	res/level_c/small_dataset_multiseed_audit/level_c_small_dataset_multiseed_audit.json	True	Debug overfit seeds; total windows across seed rows 252.
small_dataset_heldout_debug_seeds	debug_seed_runs	3	0	res/level_c/small_dataset_heldout_multiseed_audit/level_c_small_dataset_heldout_multiseed_audit.json	True	Debug held-out seeds; total test windows 84.
paper_state_heldout_debug_seeds	debug_seed_runs	3	0	res/level_c/paper_state_heldout_multiseed_audit/level_c_paper_state_heldout_multiseed_audit.json	True	Paper-state debug held-out seeds; total test windows 84.
vae_latent_heldout_debug_seeds	debug_seed_runs	3	0	res/level_c/vae_latent_heldout_multiseed_audit/level_c_vae_latent_heldout_multiseed_audit.json	True	VAE-latent debug held-out seeds; total test windows 84.
diffusion_to_vae_action_debug_seeds	debug_seed_runs	3	0	res/level_c/diffusion_to_vae_action_multiseed_audit/level_c_diffusion_to_vae_action_multiseed_audit.json	True	Diffusion-to-action debug seeds; total test windows 84.
retained_failed_isaaclab_smoke	failed_run_retained	1	1	res/failed_runs/failed_run_audit/failed_run_audit.json	True	Retained failed run phase1_isaaclab_headless_smoke_g1_inotify_0_20260616_200654 with 48 GPU-status rows.
run_catalog_training_runs	run_catalog_count	4	3	res/run_log_config_catalog/run_log_config_catalog.json	True	Run catalog records 0 valid training runs; debug/invalid run directories are not completed paper trials.
fig5_fig6_rollout_trials	missing_paper_rollout_trials			res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	Fig.5/Fig.6 audit covers 6 panels, but trained guided/unconditional rollout trial counts and failure counts are unavailable.
